company_id,quarter,disclosure_risk_score,rnd_ratio,major_event_flag,disclosure_summary_ko
C002,2022Q1,0.54444,0.02693,0,합성 데이터: 특이 공시 없음
C002,2022Q2,0.65053,0.04193,0,합성 데이터: 공시 위험 신호 높음
C002,2022Q3,0.6505,0.03213,0,합성 데이터: 공시 위험 신호 높음
C002,2022Q4,0.55455,0.04786,0,합성 데이터: 특이 공시 없음
C002,2023Q1,0.61503,0.04428,0,합성 데이터: 특이 공시 없음
C002,2023Q2,0.63282,0.02395,1,합성 데이터: 특이 공시 없음
C002,2023Q3,0.56801,0.03158,0,합성 데이터: 특이 공시 없음
C002,2023Q4,0.73254,0.06502,0,합성 데이터: 공시 위험 신호 높음
C002,2024Q1,0.54307,0.04913,0,합성 데이터: 특이 공시 없음
C002,2024Q2,0.65926,0.02674,1,합성 데이터: 공시 위험 신호 높음
C002,2024Q3,0.66931,0.01861,0,합성 데이터: 공시 위험 신호 높음
C002,2024Q4,0.40584,0.01839,0,합성 데이터: 특이 공시 없음
C002,2025Q1,0.66176,0.01663,0,합성 데이터: 공시 위험 신호 높음
C002,2025Q2,0.63241,0.05749,0,합성 데이터: 특이 공시 없음
C002,2025Q3,0.48637,0.03609,0,합성 데이터: 특이 공시 없음
C002,2025Q4,0.43709,0.05292,1,합성 데이터: 특이 공시 없음
C003,2021Q1,0.43077,0.06134,0,합성 데이터: 특이 공시 없음
C003,2021Q2,0.40276,0.10307,0,합성 데이터: 특이 공시 없음
C003,2021Q3,0.42177,0.07606,0,합성 데이터: 특이 공시 없음
C003,2021Q4,0.49085,0.03594,0,합성 데이터: 특이 공시 없음
C003,2022Q1,0.34857,0.06265,0,합성 데이터: 특이 공시 없음
C003,2022Q2,0.42399,0.05647,0,합성 데이터: 특이 공시 없음
C003,2022Q3,0.39828,0.06582,0,합성 데이터: 특이 공시 없음
C003,2022Q4,0.44179,0.07605,0,합성 데이터: 특이 공시 없음
C003,2023Q1,0.33719,0.06936,0,합성 데이터: 특이 공시 없음
C003,2023Q2,0.46227,0.07413,0,합성 데이터: 특이 공시 없음
C003,2023Q3,0.43168,0.06893,0,합성 데이터: 특이 공시 없음
C003,2023Q4,0.43355,0.06394,0,합성 데이터: 특이 공시 없음
C003,2024Q1,0.38059,0.08775,0,합성 데이터: 특이 공시 없음
C003,2024Q2,0.4268,0.04521,0,합성 데이터: 특이 공시 없음
C003,2024Q3,0.40681,0.06587,0,합성 데이터: 특이 공시 없음
C003,2024Q4,0.48249,0.05927,0,합성 데이터: 특이 공시 없음
C003,2025Q1,0.46878,0.0557,0,합성 데이터: 특이 공시 없음
C003,2025Q2,0.39141,0.06514,1,합성 데이터: 특이 공시 없음
C003,2025Q3,0.23154,0.06022,0,합성 데이터: 특이 공시 없음
C003,2025Q4,0.29565,0.06346,0,합성 데이터: 특이 공시 없음
C004,2021Q1,0.3861,0.03481,1,합성 데이터: 특이 공시 없음
C004,2021Q2,0.34135,0.04256,0,합성 데이터: 특이 공시 없음
C004,2021Q3,0.35276,0.0342,0,합성 데이터: 특이 공시 없음
C004,2021Q4,0.4398,0.04613,0,합성 데이터: 특이 공시 없음
C004,2022Q1,0.37149,0.04894,0,합성 데이터: 특이 공시 없음
C004,2022Q2,0.39585,0.02378,0,합성 데이터: 특이 공시 없음
C004,2022Q3,0.46173,0.0279,0,합성 데이터: 특이 공시 없음
C004,2022Q4,0.54091,0.02874,0,합성 데이터: 특이 공시 없음
C004,2023Q1,0.51688,0.0064,0,합성 데이터: 특이 공시 없음
C004,2023Q2,0.39998,0.07658,0,합성 데이터: 특이 공시 없음
C004,2023Q3,0.42686,0.0038,1,합성 데이터: 특이 공시 없음
C004,2023Q4,0.47826,0.05707,0,합성 데이터: 특이 공시 없음
C004,2024Q1,0.50286,0.04536,0,합성 데이터: 특이 공시 없음
C004,2024Q2,0.54997,0.07513,1,합성 데이터: 특이 공시 없음
C004,2024Q3,0.37162,0.03927,0,합성 데이터: 특이 공시 없음
C004,2024Q4,0.42583,0.03311,0,합성 데이터: 특이 공시 없음
C004,2025Q1,0.3184,0.03697,0,합성 데이터: 특이 공시 없음
C004,2025Q2,0.51411,0.04091,0,합성 데이터: 특이 공시 없음
C004,2025Q3,0.43073,0.0,0,합성 데이터: 특이 공시 없음
C004,2025Q4,0.40447,0.02736,0,합성 데이터: 특이 공시 없음
C005,2021Q1,0.26168,0.04492,0,합성 데이터: 특이 공시 없음
C005,2021Q2,0.34976,0.01406,0,합성 데이터: 특이 공시 없음
C005,2021Q3,0.44655,0.03285,1,합성 데이터: 특이 공시 없음
C005,2021Q4,0.42465,0.05776,1,합성 데이터: 특이 공시 없음
C005,2022Q1,0.43631,0.04539,1,합성 데이터: 특이 공시 없음
C005,2022Q2,0.25999,0.03515,0,합성 데이터: 특이 공시 없음
C005,2022Q3,0.39172,0.00679,0,합성 데이터: 특이 공시 없음
C005,2022Q4,0.29916,0.0431,0,합성 데이터: 특이 공시 없음
C005,2023Q1,0.49767,0.00669,1,합성 데이터: 특이 공시 없음
C005,2023Q2,0.44094,0.03205,0,합성 데이터: 특이 공시 없음
C005,2023Q3,0.44535,0.02547,0,합성 데이터: 특이 공시 없음
C005,2023Q4,0.31283,0.02106,0,합성 데이터: 특이 공시 없음
C005,2024Q1,0.35332,0.01597,0,합성 데이터: 특이 공시 없음
C005,2024Q2,0.4359,0.06132,0,합성 데이터: 특이 공시 없음
C005,2024Q3,0.38947,0.03233,0,합성 데이터: 특이 공시 없음
C005,2024Q4,0.4179,0.02668,0,합성 데이터: 특이 공시 없음
C005,2025Q1,0.40854,0.04246,0,합성 데이터: 특이 공시 없음
C005,2025Q2,0.46242,0.03916,0,합성 데이터: 특이 공시 없음
C005,2025Q3,0.45692,0.03924,0,합성 데이터: 특이 공시 없음
C005,2025Q4,0.43414,0.03859,0,합성 데이터: 특이 공시 없음
C006,2021Q1,0.41385,0.05595,0,합성 데이터: 특이 공시 없음
C006,2021Q2,0.39532,0.08559,0,합성 데이터: 특이 공시 없음
C006,2021Q3,0.43026,0.05646,1,합성 데이터: 특이 공시 없음
C006,2021Q4,0.43018,0.05678,0,합성 데이터: 특이 공시 없음
C006,2022Q1,0.45515,0.07056,0,합성 데이터: 특이 공시 없음
C006,2022Q2,0.40874,0.06186,0,합성 데이터: 특이 공시 없음
C006,2022Q3,0.43924,0.08047,1,합성 데이터: 특이 공시 없음
C006,2022Q4,0.4562,0.06167,0,합성 데이터: 특이 공시 없음
C006,2023Q1,0.55101,0.0766,0,합성 데이터: 특이 공시 없음
C006,2023Q2,0.42849,0.0344,1,합성 데이터: 특이 공시 없음
C006,2023Q3,0.40227,0.07351,0,합성 데이터: 특이 공시 없음
C006,2023Q4,0.56506,0.05563,0,합성 데이터: 특이 공시 없음
C006,2024Q1,0.44866,0.10972,0,합성 데이터: 특이 공시 없음
C006,2024Q2,0.66633,0.05705,0,합성 데이터: 공시 위험 신호 높음
C006,2024Q3,0.41921,0.09342,1,합성 데이터: 특이 공시 없음
C006,2024Q4,0.49334,0.10818,0,합성 데이터: 특이 공시 없음
C006,2025Q1,0.45075,0.06613,0,합성 데이터: 특이 공시 없음
C006,2025Q2,0.38191,0.0702,0,합성 데이터: 특이 공시 없음
C006,2025Q3,0.34764,0.05338,0,합성 데이터: 특이 공시 없음
C006,2025Q4,0.36124,0.08215,0,합성 데이터: 특이 공시 없음
C007,2021Q1,0.43001,0.01199,0,합성 데이터: 특이 공시 없음
C007,2021Q2,0.4975,0.05597,0,합성 데이터: 특이 공시 없음
C007,2021Q3,0.43755,0.05964,1,합성 데이터: 특이 공시 없음
C007,2021Q4,0.40253,0.01876,0,합성 데이터: 특이 공시 없음
C007,2022Q1,0.37661,0.06204,0,합성 데이터: 특이 공시 없음
C007,2022Q2,0.59024,0.05515,1,합성 데이터: 특이 공시 없음
C007,2022Q3,0.28014,0.04731,0,합성 데이터: 특이 공시 없음
C007,2022Q4,0.37545,0.04006,0,합성 데이터: 특이 공시 없음
C007,2023Q1,0.45587,0.0015,0,합성 데이터: 특이 공시 없음
C007,2023Q2,0.30826,0.05292,0,합성 데이터: 특이 공시 없음
C007,2023Q3,0.36908,0.05293,0,합성 데이터: 특이 공시 없음
C007,2023Q4,0.44641,0.01866,0,합성 데이터: 특이 공시 없음
C007,2024Q1,0.48736,0.04879,0,합성 데이터: 특이 공시 없음
C007,2024Q2,0.46584,0.02417,0,합성 데이터: 특이 공시 없음
C007,2024Q3,0.55137,0.03374,0,합성 데이터: 특이 공시 없음
C007,2024Q4,0.42285,0.04917,0,합성 데이터: 특이 공시 없음
C007,2025Q1,0.52143,0.03583,0,합성 데이터: 특이 공시 없음
C007,2025Q2,0.30355,0.0597,0,합성 데이터: 특이 공시 없음
C007,2025Q3,0.31965,0.04016,0,합성 데이터: 특이 공시 없음
C007,2025Q4,0.35252,0.02278,0,합성 데이터: 특이 공시 없음
C008,2021Q1,0.42311,0.08196,0,합성 데이터: 특이 공시 없음
C008,2021Q2,0.45423,0.07483,0,합성 데이터: 특이 공시 없음
C008,2021Q3,0.42388,0.06569,0,합성 데이터: 특이 공시 없음
C008,2021Q4,0.3418,0.06886,1,합성 데이터: 특이 공시 없음
C008,2022Q1,0.46947,0.06909,0,합성 데이터: 특이 공시 없음
C008,2022Q2,0.38666,0.10314,0,합성 데이터: 특이 공시 없음
C008,2022Q3,0.55172,0.08883,0,합성 데이터: 특이 공시 없음
C008,2022Q4,0.33362,0.086,0,합성 데이터: 특이 공시 없음
C008,2023Q1,0.38898,0.0581,0,합성 데이터: 특이 공시 없음
C008,2023Q2,0.43548,0.05842,0,합성 데이터: 특이 공시 없음
C008,2023Q3,0.41582,0.08404,1,합성 데이터: 특이 공시 없음
C008,2023Q4,0.38118,0.06806,0,합성 데이터: 특이 공시 없음
C008,2024Q1,0.58106,0.07438,0,합성 데이터: 특이 공시 없음
C008,2024Q2,0.49965,0.0578,0,합성 데이터: 특이 공시 없음
C008,2024Q3,0.49508,0.06402,0,합성 데이터: 특이 공시 없음
C008,2024Q4,0.41803,0.07074,0,합성 데이터: 특이 공시 없음
C008,2025Q1,0.48042,0.0584,0,합성 데이터: 특이 공시 없음
C008,2025Q2,0.39247,0.09277,0,합성 데이터: 특이 공시 없음
C008,2025Q3,0.50414,0.07332,0,합성 데이터: 특이 공시 없음
C008,2025Q4,0.47901,0.05588,0,합성 데이터: 특이 공시 없음
C009,2021Q1,0.45823,0.02899,0,합성 데이터: 특이 공시 없음
C009,2021Q2,0.20622,0.05403,0,합성 데이터: 특이 공시 없음
C009,2021Q3,0.17602,0.05465,0,합성 데이터: 특이 공시 없음
C009,2021Q4,0.33324,0.01874,0,합성 데이터: 특이 공시 없음
C009,2022Q1,0.42465,0.05046,1,합성 데이터: 특이 공시 없음
C009,2022Q2,0.17615,0.03777,0,합성 데이터: 특이 공시 없음
C009,2022Q3,0.23941,0.04865,0,합성 데이터: 특이 공시 없음
C009,2022Q4,0.3247,0.03937,1,합성 데이터: 특이 공시 없음
C009,2023Q1,0.24541,0.02074,0,합성 데이터: 특이 공시 없음
C009,2023Q2,0.23887,0.02243,1,합성 데이터: 특이 공시 없음
C009,2023Q3,0.11812,0.03819,0,합성 데이터: 특이 공시 없음
C009,2023Q4,0.16712,0.05405,0,합성 데이터: 특이 공시 없음
C009,2024Q1,0.26217,0.01655,0,합성 데이터: 특이 공시 없음
C009,2024Q2,0.14421,0.06218,1,합성 데이터: 특이 공시 없음
C009,2024Q3,0.14745,0.03835,0,합성 데이터: 특이 공시 없음
C009,2024Q4,0.29338,0.0343,1,합성 데이터: 특이 공시 없음
C009,2025Q1,0.37095,0.05316,0,합성 데이터: 특이 공시 없음
C009,2025Q2,0.41247,0.05257,0,합성 데이터: 특이 공시 없음
C009,2025Q3,0.31284,0.02936,0,합성 데이터: 특이 공시 없음
C009,2025Q4,0.28666,0.0057,0,합성 데이터: 특이 공시 없음
C010,2021Q1,0.50948,0.0,1,합성 데이터: 특이 공시 없음
C010,2021Q2,0.48246,0.02999,0,합성 데이터: 특이 공시 없음
C010,2021Q3,0.53984,0.03032,0,합성 데이터: 특이 공시 없음
C010,2021Q4,0.33617,0.02855,0,합성 데이터: 특이 공시 없음
C010,2022Q1,0.55596,0.06026,0,합성 데이터: 특이 공시 없음
C010,2022Q2,0.57096,0.03432,1,합성 데이터: 특이 공시 없음
C010,2022Q3,0.65367,0.00087,0,합성 데이터: 공시 위험 신호 높음
C010,2022Q4,0.59311,0.05446,0,합성 데이터: 특이 공시 없음
C010,2023Q1,0.60224,0.01357,0,합성 데이터: 특이 공시 없음
C010,2023Q2,0.48129,0.04682,0,합성 데이터: 특이 공시 없음
C010,2023Q3,0.39541,0.02897,0,합성 데이터: 특이 공시 없음
C010,2023Q4,0.37468,0.03045,0,합성 데이터: 특이 공시 없음
C010,2024Q1,0.56303,0.0337,0,합성 데이터: 특이 공시 없음
C010,2024Q2,0.47664,0.05925,0,합성 데이터: 특이 공시 없음
C010,2024Q3,0.61537,0.0343,0,합성 데이터: 특이 공시 없음
C010,2024Q4,0.59111,0.0714,0,합성 데이터: 특이 공시 없음
C010,2025Q1,0.63943,0.02335,0,합성 데이터: 특이 공시 없음
C010,2025Q2,0.50952,0.04224,0,합성 데이터: 특이 공시 없음
C010,2025Q3,0.54029,0.03643,0,합성 데이터: 특이 공시 없음
C010,2025Q4,0.42508,0.03202,0,합성 데이터: 특이 공시 없음
C011,2021Q1,0.50588,0.04754,0,합성 데이터: 특이 공시 없음
C011,2021Q2,0.59458,0.02647,0,합성 데이터: 특이 공시 없음
C011,2021Q3,0.44453,0.03239,0,합성 데이터: 특이 공시 없음
C011,2021Q4,0.50635,0.05463,0,합성 데이터: 특이 공시 없음
C011,2022Q1,0.44593,0.02825,0,합성 데이터: 특이 공시 없음
C011,2022Q2,0.50244,0.04226,0,합성 데이터: 특이 공시 없음
C011,2022Q3,0.4541,0.05038,0,합성 데이터: 특이 공시 없음
C011,2022Q4,0.50108,0.03655,0,합성 데이터: 특이 공시 없음
C011,2023Q1,0.38531,0.01369,0,합성 데이터: 특이 공시 없음
C011,2023Q2,0.39501,0.0262,0,합성 데이터: 특이 공시 없음
C011,2023Q3,0.37305,0.02354,0,합성 데이터: 특이 공시 없음
C011,2023Q4,0.30173,0.02931,0,합성 데이터: 특이 공시 없음
C011,2024Q1,0.51282,0.04214,0,합성 데이터: 특이 공시 없음
C011,2024Q2,0.47209,0.07791,0,합성 데이터: 특이 공시 없음
C011,2024Q3,0.40882,0.02388,0,합성 데이터: 특이 공시 없음
C011,2024Q4,0.43243,0.01477,0,합성 데이터: 특이 공시 없음
C011,2025Q1,0.49179,0.06074,0,합성 데이터: 특이 공시 없음
C011,2025Q2,0.49715,0.01058,0,합성 데이터: 특이 공시 없음
C011,2025Q3,0.42957,0.03666,0,합성 데이터: 특이 공시 없음
C011,2025Q4,0.54564,0.0456,0,합성 데이터: 특이 공시 없음
C012,2021Q1,0.37821,0.05049,0,합성 데이터: 특이 공시 없음
C012,2021Q2,0.4894,0.03105,0,합성 데이터: 특이 공시 없음
C012,2021Q3,0.36864,0.05254,0,합성 데이터: 특이 공시 없음
C012,2021Q4,0.41861,0.02404,0,합성 데이터: 특이 공시 없음
C012,2022Q1,0.5319,0.0199,0,합성 데이터: 특이 공시 없음
C012,2022Q2,0.46317,0.04593,0,합성 데이터: 특이 공시 없음
C012,2022Q3,0.39641,0.07319,0,합성 데이터: 특이 공시 없음
C012,2022Q4,0.39296,0.05098,0,합성 데이터: 특이 공시 없음
C012,2023Q1,0.68784,0.02259,1,합성 데이터: 공시 위험 신호 높음
C012,2023Q2,0.42405,0.01482,0,합성 데이터: 특이 공시 없음
C012,2023Q3,0.29728,0.0622,0,합성 데이터: 특이 공시 없음
C012,2023Q4,0.57279,0.02804,0,합성 데이터: 특이 공시 없음
C012,2024Q1,0.30438,0.05806,0,합성 데이터: 특이 공시 없음
C012,2024Q2,0.23322,0.03568,0,합성 데이터: 특이 공시 없음
C012,2024Q3,0.46171,0.00312,0,합성 데이터: 특이 공시 없음
C012,2024Q4,0.46366,0.0,0,합성 데이터: 특이 공시 없음
C012,2025Q1,0.36974,0.05244,0,합성 데이터: 특이 공시 없음
C012,2025Q2,0.4467,0.02254,0,합성 데이터: 특이 공시 없음
C012,2025Q3,0.32056,0.02662,0,합성 데이터: 특이 공시 없음
C012,2025Q4,0.42851,0.05945,0,합성 데이터: 특이 공시 없음
C013,2021Q1,0.35652,0.06933,0,합성 데이터: 특이 공시 없음
C013,2021Q2,0.26828,0.07687,0,합성 데이터: 특이 공시 없음
C013,2021Q3,0.32432,0.08365,0,합성 데이터: 특이 공시 없음
C013,2021Q4,0.33626,0.06139,0,합성 데이터: 특이 공시 없음
C013,2022Q1,0.41157,0.07164,0,합성 데이터: 특이 공시 없음
C013,2022Q2,0.37785,0.1023,0,합성 데이터: 특이 공시 없음
C013,2022Q3,0.32471,0.08791,0,합성 데이터: 특이 공시 없음
C013,2022Q4,0.0759,0.08156,0,합성 데이터: 특이 공시 없음
C013,2023Q1,0.33049,0.06469,0,합성 데이터: 특이 공시 없음
C013,2023Q2,0.34162,0.10403,0,합성 데이터: 특이 공시 없음
C013,2023Q3,0.45376,0.05195,0,합성 데이터: 특이 공시 없음
C013,2023Q4,0.22295,0.04841,0,합성 데이터: 특이 공시 없음
C013,2024Q1,0.41148,0.06193,0,합성 데이터: 특이 공시 없음
C013,2024Q2,0.25992,0.06816,0,합성 데이터: 특이 공시 없음
C013,2024Q3,0.21309,0.06649,0,합성 데이터: 특이 공시 없음
C013,2024Q4,0.36693,0.0776,0,합성 데이터: 특이 공시 없음
C013,2025Q1,0.31992,0.07445,0,합성 데이터: 특이 공시 없음
C013,2025Q2,0.29593,0.06811,0,합성 데이터: 특이 공시 없음
C013,2025Q3,0.2358,0.07323,0,합성 데이터: 특이 공시 없음
C013,2025Q4,0.36662,0.04649,0,합성 데이터: 특이 공시 없음
C014,2021Q1,0.34479,0.03545,0,합성 데이터: 특이 공시 없음
C014,2021Q2,0.52969,0.04545,0,합성 데이터: 특이 공시 없음
C014,2021Q3,0.2524,0.0,0,합성 데이터: 특이 공시 없음
C014,2021Q4,0.52833,0.03078,0,합성 데이터: 특이 공시 없음
C014,2022Q1,0.29399,0.01067,0,합성 데이터: 특이 공시 없음
C014,2022Q2,0.37191,0.04507,0,합성 데이터: 특이 공시 없음
C014,2022Q3,0.45027,0.02577,0,합성 데이터: 특이 공시 없음
C014,2022Q4,0.27315,0.05653,0,합성 데이터: 특이 공시 없음
C014,2023Q1,0.3469,0.0321,0,합성 데이터: 특이 공시 없음
C014,2023Q2,0.31805,0.03958,0,합성 데이터: 특이 공시 없음
C014,2023Q3,0.48127,0.04556,0,합성 데이터: 특이 공시 없음
C014,2023Q4,0.37428,0.0359,1,합성 데이터: 특이 공시 없음
C014,2024Q1,0.41702,0.01819,1,합성 데이터: 특이 공시 없음
C014,2024Q2,0.49685,0.05325,1,합성 데이터: 특이 공시 없음
C014,2024Q3,0.45975,0.03767,1,합성 데이터: 특이 공시 없음
C014,2024Q4,0.46056,0.05696,0,합성 데이터: 특이 공시 없음
C014,2025Q1,0.48539,0.02179,1,합성 데이터: 특이 공시 없음
C014,2025Q2,0.34941,0.0203,1,합성 데이터: 특이 공시 없음
C014,2025Q3,0.26652,0.03351,0,합성 데이터: 특이 공시 없음
C014,2025Q4,0.40014,0.0,0,합성 데이터: 특이 공시 없음
C015,2021Q1,0.42914,0.02242,0,합성 데이터: 특이 공시 없음
C015,2021Q2,0.40467,0.08893,0,합성 데이터: 특이 공시 없음
C015,2021Q3,0.34933,0.03954,0,합성 데이터: 특이 공시 없음
C015,2021Q4,0.34403,0.05092,0,합성 데이터: 특이 공시 없음
C015,2022Q1,0.33945,0.01911,0,합성 데이터: 특이 공시 없음
C015,2022Q2,0.54174,0.04913,0,합성 데이터: 특이 공시 없음
C015,2022Q3,0.46503,0.02385,0,합성 데이터: 특이 공시 없음
C015,2022Q4,0.48158,0.04365,0,합성 데이터: 특이 공시 없음
C015,2023Q1,0.4113,0.05932,0,합성 데이터: 특이 공시 없음
C015,2023Q2,0.41623,0.07141,0,합성 데이터: 특이 공시 없음
C015,2023Q3,0.41231,0.03355,1,합성 데이터: 특이 공시 없음
C015,2023Q4,0.40837,0.03748,0,합성 데이터: 특이 공시 없음
C015,2024Q1,0.38623,0.05286,0,합성 데이터: 특이 공시 없음
C015,2024Q2,0.4637,0.05616,0,합성 데이터: 특이 공시 없음
C015,2024Q3,0.47015,0.00542,0,합성 데이터: 특이 공시 없음
C015,2024Q4,0.42137,0.05334,0,합성 데이터: 특이 공시 없음
C015,2025Q1,0.42158,0.01933,0,합성 데이터: 특이 공시 없음
C015,2025Q2,0.528,0.05164,0,합성 데이터: 특이 공시 없음
C015,2025Q3,0.46695,0.02233,0,합성 데이터: 특이 공시 없음
C015,2025Q4,0.34514,0.01798,0,합성 데이터: 특이 공시 없음
C016,2021Q1,0.59048,0.0659,1,합성 데이터: 특이 공시 없음
C016,2021Q2,0.53935,0.10086,0,합성 데이터: 특이 공시 없음
C016,2021Q3,0.56908,0.05608,0,합성 데이터: 특이 공시 없음
C016,2021Q4,0.5541,0.09704,0,합성 데이터: 특이 공시 없음
C016,2022Q1,0.56288,0.10042,0,합성 데이터: 특이 공시 없음
C016,2022Q2,0.52102,0.07057,0,합성 데이터: 특이 공시 없음
C016,2022Q3,0.29198,0.06984,0,합성 데이터: 특이 공시 없음
C016,2022Q4,0.56585,0.08399,0,합성 데이터: 특이 공시 없음
C016,2023Q1,0.49371,0.06001,0,합성 데이터: 특이 공시 없음
C016,2023Q2,0.66494,0.08081,0,합성 데이터: 공시 위험 신호 높음
C016,2023Q3,0.44839,0.08823,0,합성 데이터: 특이 공시 없음
C016,2023Q4,0.54518,0.07272,0,합성 데이터: 특이 공시 없음
C016,2024Q1,0.62223,0.0805,0,합성 데이터: 특이 공시 없음
C016,2024Q2,0.56603,0.1134,1,합성 데이터: 특이 공시 없음
C016,2024Q3,0.55831,0.09359,0,합성 데이터: 특이 공시 없음
C016,2024Q4,0.46475,0.11091,0,합성 데이터: 특이 공시 없음
C016,2025Q1,0.59234,0.08388,0,합성 데이터: 특이 공시 없음
C016,2025Q2,0.44632,0.07364,0,합성 데이터: 특이 공시 없음
C016,2025Q3,0.58306,0.08816,0,합성 데이터: 특이 공시 없음
C016,2025Q4,0.50614,0.07829,0,합성 데이터: 특이 공시 없음
C017,2021Q1,0.55197,0.10597,0,합성 데이터: 특이 공시 없음
C017,2021Q2,0.53615,0.09924,0,합성 데이터: 특이 공시 없음
C017,2021Q3,0.46384,0.08064,0,합성 데이터: 특이 공시 없음
C017,2021Q4,0.56933,0.08518,0,합성 데이터: 특이 공시 없음
C017,2022Q1,0.59391,0.10434,0,합성 데이터: 특이 공시 없음
C017,2022Q2,0.42339,0.06628,0,합성 데이터: 특이 공시 없음
C017,2022Q3,0.51607,0.07405,0,합성 데이터: 특이 공시 없음
C017,2022Q4,0.55364,0.08916,0,합성 데이터: 특이 공시 없음
C017,2023Q1,0.51351,0.05856,1,합성 데이터: 특이 공시 없음
C017,2023Q2,0.44657,0.10581,0,합성 데이터: 특이 공시 없음
C017,2023Q3,0.40237,0.04602,0,합성 데이터: 특이 공시 없음
C017,2023Q4,0.5406,0.05766,0,합성 데이터: 특이 공시 없음
C017,2024Q1,0.5121,0.11403,0,합성 데이터: 특이 공시 없음
C017,2024Q2,0.47126,0.04387,1,합성 데이터: 특이 공시 없음
C017,2024Q3,0.61411,0.10532,0,합성 데이터: 특이 공시 없음
C017,2024Q4,0.34121,0.05138,0,합성 데이터: 특이 공시 없음
C017,2025Q1,0.61483,0.05618,0,합성 데이터: 특이 공시 없음
C017,2025Q2,0.39584,0.07958,0,합성 데이터: 특이 공시 없음
C017,2025Q3,0.56305,0.05874,0,합성 데이터: 특이 공시 없음
C017,2025Q4,0.46458,0.05807,0,합성 데이터: 특이 공시 없음
C018,2021Q1,0.33912,0.04793,0,합성 데이터: 특이 공시 없음
C018,2021Q2,0.41124,0.03135,0,합성 데이터: 특이 공시 없음
C018,2021Q3,0.22962,0.01779,0,합성 데이터: 특이 공시 없음
C018,2021Q4,0.23401,0.07276,0,합성 데이터: 특이 공시 없음
C018,2022Q1,0.20567,0.03685,0,합성 데이터: 특이 공시 없음
C018,2022Q2,0.41071,0.0306,0,합성 데이터: 특이 공시 없음
C018,2022Q3,0.37301,0.05564,0,합성 데이터: 특이 공시 없음
C018,2022Q4,0.3163,0.03758,0,합성 데이터: 특이 공시 없음
C018,2023Q1,0.19989,0.03482,0,합성 데이터: 특이 공시 없음
C018,2023Q2,0.27049,0.05125,0,합성 데이터: 특이 공시 없음
C018,2023Q3,0.40797,0.05736,0,합성 데이터: 특이 공시 없음
C018,2023Q4,0.33363,0.06419,0,합성 데이터: 특이 공시 없음
C018,2024Q1,0.30505,0.0364,1,합성 데이터: 특이 공시 없음
C018,2024Q2,0.29917,0.02885,0,합성 데이터: 특이 공시 없음
C018,2024Q3,0.35124,0.05752,0,합성 데이터: 특이 공시 없음
C018,2024Q4,0.20222,0.04246,0,합성 데이터: 특이 공시 없음
C018,2025Q1,0.19146,0.01391,0,합성 데이터: 특이 공시 없음
C018,2025Q2,0.29647,0.02316,0,합성 데이터: 특이 공시 없음
C018,2025Q3,0.25134,0.06177,0,합성 데이터: 특이 공시 없음
C018,2025Q4,0.26483,0.0419,0,합성 데이터: 특이 공시 없음
C019,2021Q1,0.43596,0.06531,0,합성 데이터: 특이 공시 없음
C019,2021Q2,0.37659,0.02856,0,합성 데이터: 특이 공시 없음
C019,2021Q3,0.44761,0.0051,0,합성 데이터: 특이 공시 없음
C019,2021Q4,0.40983,0.04961,0,합성 데이터: 특이 공시 없음
C019,2022Q1,0.32384,0.03017,0,합성 데이터: 특이 공시 없음
